,regiao,data,semanaEpi,casosAcumulado,obitosAcumulado,obitosNovos,Recuperadosnovos,emAcompanhamentoNovos
54,Brasil,2020-04-19,17.0,38654.0,2462.0,115.0,22130.0,14062.0
55,Brasil,2020-04-20,17.0,40581.0,2575.0,113.0,22991.0,15015.0
56,Brasil,2020-04-21,17.0,43079.0,2741.0,166.0,24325.0,16013.0
57,Brasil,2020-04-22,17.0,45757.0,2906.0,165.0,25318.0,17533.0
58,Brasil,2020-04-23,17.0,49492.0,3313.0,407.0,26573.0,19606.0
59,Brasil,2020-04-24,17.0,52995.0,3670.0,357.0,27655.0,21670.0
60,Brasil,2020-04-25,17.0,58509.0,4016.0,346.0,29160.0,25333.0
61,Brasil,2020-04-26,18.0,61888.0,4205.0,189.0,30152.0,27531.0
62,Brasil,2020-04-27,18.0,66501.0,4543.0,338.0,31142.0,30816.0
63,Brasil,2020-04-28,18.0,71886.0,5017.0,474.0,32544.0,34325.0
64,Brasil,2020-04-29,18.0,78162.0,5466.0,449.0,34132.0,38564.0
65,Brasil,2020-04-30,18.0,85380.0,5901.0,435.0,35935.0,43544.0
66,Brasil,2020-05-01,18.0,91299.0,6329.0,428.0,38039.0,47221.0
67,Brasil,2020-05-02,18.0,96396.0,6724.0,395.0,40937.0,48872.0
68,Brasil,2020-05-03,19.0,101147.0,7025.0,301.0,42991.0,51131.0
69,Brasil,2020-05-04,19.0,107780.0,7321.0,296.0,45186.0,55273.0
70,Brasil,2020-05-05,19.0,114715.0,7921.0,600.0,48221.0,58573.0
71,Brasil,2020-05-06,19.0,125218.0,8535.0,614.0,51370.0,65312.0
72,Brasil,2020-05-07,19.0,135106.0,9146.0,611.0,55350.0,70610.0
73,Brasil,2020-05-08,19.0,145328.0,9895.0,749.0,59297.0,76134.0
74,Brasil,2020-05-09,19.0,155939.0,10627.0,732.0,61685.0,83627.0
75,Brasil,2020-05-10,20.0,162699.0,11123.0,496.0,64957.0,86619.0
76,Brasil,2020-05-11,20.0,168331.0,11519.0,396.0,67384.0,89429.0
77,Brasil,2020-05-12,20.0,177589.0,12400.0,881.0,72597.0,92593.0
78,Brasil,2020-05-13,20.0,188974.0,13149.0,749.0,78424.0,97402.0
79,Brasil,2020-05-14,20.0,202918.0,13993.0,844.0,79479.0,109446.0
80,Brasil,2020-05-15,20.0,218223.0,14817.0,824.0,84970.0,118436.0
81,Brasil,2020-05-16,20.0,233142.0,15633.0,816.0,89672.0,127837.0
82,Brasil,2020-05-17,21.0,241080.0,16118.0,485.0,94122.0,130840.0
83,Brasil,2020-05-18,21.0,254220.0,16792.0,674.0,100459.0,136969.0
84,Brasil,2020-05-19,21.0,271628.0,17971.0,1179.0,106794.0,146863.0
85,Brasil,2020-05-20,21.0,291579.0,18859.0,888.0,116683.0,156037.0
86,Brasil,2020-05-21,21.0,310087.0,20047.0,1188.0,125960.0,164080.0
87,Brasil,2020-05-22,21.0,330890.0,21046.0,999.0,135430.0,174412.0
88,Brasil,2020-05-23,21.0,347398.0,22013.0,967.0,142587.0,182798.0
89,Brasil,2020-05-24,22.0,363211.0,22666.0,653.0,149911.0,190634.0
90,Brasil,2020-05-25,22.0,374898.0,23473.0,807.0,153833.0,197592.0
91,Brasil,2020-05-26,22.0,391222.0,24512.0,1039.0,158593.0,208117.0
92,Brasil,2020-05-27,22.0,411821.0,25598.0,1086.0,166647.0,219576.0
93,Brasil,2020-05-28,22.0,438238.0,26754.0,1156.0,177604.0,233880.0
94,Brasil,2020-05-29,22.0,465166.0,27878.0,1124.0,189476.0,247812.0
95,Brasil,2020-05-30,22.0,498440.0,28834.0,956.0,200892.0,268714.0
96,Brasil,2020-05-31,23.0,514200.0,29314.0,480.0,206555.0,278331.0
97,Brasil,2020-06-01,23.0,526447.0,29937.0,623.0,211080.0,285430.0
98,Brasil,2020-06-02,23.0,555383.0,31199.0,1262.0,223638.0,300546.0
99,Brasil,2020-06-03,23.0,584016.0,32548.0,1349.0,238617.0,312851.0
100,Brasil,2020-06-04,23.0,614941.0,34021.0,1473.0,254963.0,325957.0
101,Brasil,2020-06-05,23.0,645771.0,35026.0,1005.0,266940.0,343805.0
102,Brasil,2020-06-06,23.0,672846.0,35930.0,904.0,277149.0,359767.0
103,Brasil,2020-06-07,24.0,691758.0,36455.0,525.0,283952.0,371351.0
104,Brasil,2020-06-08,24.0,707412.0,37134.0,679.0,290040.0,380238.0
105,Brasil,2020-06-09,24.0,739503.0,38406.0,1272.0,311064.0,390033.0
106,Brasil,2020-06-10,24.0,772416.0,39680.0,1274.0,325395.0,407341.0
107,Brasil,2020-06-11,24.0,802828.0,40919.0,1239.0,345595.0,416314.0
108,Brasil,2020-06-12,24.0,828810.0,41828.0,909.0,365063.0,421919.0
109,Brasil,2020-06-13,24.0,850514.0,42720.0,892.0,379245.0,428549.0
110,Brasil,2020-06-14,25.0,867624.0,43332.0,612.0,388492.0,435800.0
111,Brasil,2020-06-15,25.0,888271.0,43959.0,627.0,412252.0,432060.0
112,Brasil,2020-06-16,25.0,923189.0,45241.0,1282.0,441729.0,436219.0
113,Brasil,2020-06-17,25.0,955377.0,46510.0,1269.0,463474.0,445393.0
114,Brasil,2020-06-18,25.0,978142.0,47748.0,1238.0,482102.0,448292.0
115,Brasil,2020-06-19,25.0,1032913.0,48954.0,1206.0,507200.0,476759.0
116,Brasil,2020-06-20,25.0,1067579.0,49976.0,1022.0,520734.0,496869.0
117,Brasil,2020-06-21,26.0,1085038.0,50617.0,641.0,549386.0,485035.0
118,Brasil,2020-06-22,26.0,1106470.0,51271.0,654.0,571649.0,483550.0
119,Brasil,2020-06-23,26.0,1145906.0,52645.0,1374.0,613345.0,479916.0
120,Brasil,2020-06-24,26.0,1188631.0,53830.0,1185.0,649908.0,484893.0
121,Brasil,2020-06-25,26.0,1228114.0,54971.0,1141.0,673729.0,499414.0
