,municipio,codmun,estado,semanaEpi,casosAcumulado,casosNovos,obitosNovos
429450,Montes Claros,314330.0,MG,13.0,0.0,0.0,0.0
429451,Montes Claros,314330.0,MG,13.0,0.0,0.0,0.0
429452,Montes Claros,314330.0,MG,14.0,0.0,0.0,0.0
429453,Montes Claros,314330.0,MG,14.0,0.0,0.0,0.0
429454,Montes Claros,314330.0,MG,14.0,0.0,0.0,0.0
429455,Montes Claros,314330.0,MG,14.0,0.0,0.0,0.0
429456,Montes Claros,314330.0,MG,14.0,0.0,0.0,0.0
429457,Montes Claros,314330.0,MG,14.0,0.0,0.0,0.0
429458,Montes Claros,314330.0,MG,14.0,0.0,0.0,0.0
429459,Montes Claros,314330.0,MG,15.0,0.0,0.0,0.0
429460,Montes Claros,314330.0,MG,15.0,1.0,1.0,1.0
429461,Montes Claros,314330.0,MG,15.0,1.0,0.0,0.0
429462,Montes Claros,314330.0,MG,15.0,1.0,0.0,0.0
429463,Montes Claros,314330.0,MG,15.0,1.0,0.0,0.0
429464,Montes Claros,314330.0,MG,15.0,1.0,0.0,0.0
429465,Montes Claros,314330.0,MG,15.0,1.0,0.0,0.0
429466,Montes Claros,314330.0,MG,16.0,1.0,0.0,0.0
429467,Montes Claros,314330.0,MG,16.0,1.0,0.0,0.0
429468,Montes Claros,314330.0,MG,16.0,1.0,0.0,0.0
429469,Montes Claros,314330.0,MG,16.0,1.0,0.0,0.0
429470,Montes Claros,314330.0,MG,16.0,3.0,2.0,0.0
429471,Montes Claros,314330.0,MG,16.0,4.0,1.0,0.0
429472,Montes Claros,314330.0,MG,16.0,5.0,1.0,0.0
429473,Montes Claros,314330.0,MG,17.0,5.0,0.0,0.0
429474,Montes Claros,314330.0,MG,17.0,5.0,0.0,0.0
429475,Montes Claros,314330.0,MG,17.0,5.0,0.0,0.0
429476,Montes Claros,314330.0,MG,17.0,5.0,0.0,0.0
429477,Montes Claros,314330.0,MG,17.0,5.0,0.0,0.0
429478,Montes Claros,314330.0,MG,17.0,6.0,1.0,0.0
429479,Montes Claros,314330.0,MG,17.0,6.0,0.0,0.0
429480,Montes Claros,314330.0,MG,18.0,6.0,0.0,0.0
429481,Montes Claros,314330.0,MG,18.0,7.0,1.0,0.0
